municipio_id,municipio,provincia,poblacion
472,Caldes de Montbui,Cataluña,17156
473,Mula,Murcia,17124
474,Medina del Campo,Valladolid,17102
475,Villanueva del Pardillo,Madrid,17025
476,Albal,Valencia,17024
477,Poio,Pontevedra,17018
478,Gernika-Lumo,Biscay,17012
479,Los Alcázares,Murcia,16958
480,Bermeo,Biscay,16911
481,Pozoblanco,Córdoba,16908
482,Pollença (Pollensa),"Mallorca, Balearic Islands",16903
483,Tui,Pontevedra,16902
484,Hondarribia,Gipuzkoa,16888
485,Masamagrell,Valencia,16766
486,La Algaba,Seville,16755
487,Chiva,Valencia,16750
488,Churriana de la Vega,Granada,16706
489,Tàrrega,Cataluña,16587
490,Espartinas,Seville,16554
491,Balaguer,Cataluña,16485
492,Berga,Cataluña,16456
493,Ubrique,Cádiz,16441
494,Las Cabezas de San Juan,Seville,16400
495,Sant Just Desvern,Cataluña,16389
496,Tordera,Cataluña,16345
497,Tarancón,Cuenca,16331
498,Puerto Lumbreras,Murcia,16219
499,Montornès del Vallès,Cataluña,16217
500,Ejea de los Caballeros,Zaragoza,16183
501,Carlet,Valencia,16141
502,Santomera,Murcia,16116
503,Punta Umbría,Huelva,16092
504,Pasaia,Gipuzkoa,16071
505,Alcañiz,Teruel,16054
506,Tuineje,"Fuerteventura, Las Palmas",16031
507,Canovelles,Cataluña,15954
508,Benetúser,Valencia,15879
509,San Martín del Rey Aurelio,Asturias,15817
510,Monzón,Huesca,15806
511,Barbastro,Huesca,15778
512,Miguelturra,Ciudad Real,15766
513,La Garriga,Cataluña,15762
514,Baeza,Jaén,15679
515,La Roda,Albacete,15632
516,Guadarrama,Madrid,15620
517,Ermua,Biscay,15594
518,El Escorial,Madrid,15562
519,Corvera de Asturias,Asturias,15525
520,Santa Cruz de la Palma,"La Palma, Santa Cruz de Tenerife",15522
521,Vilalba,Lugo,15520
522,Torredembarra,Cataluña,15475
523,Montijo,Badajoz,15453
524,Viveiro,Lugo,15444
525,Zafra,Badajoz,15373
526,Teo,A Coruña,15331
527,Arenys de Mar,Cataluña,15307
528,Santa Fe,Granada,15301
529,Santa Úrsula,"Tenerife, Santa Cruz de Tenerife",15282
530,Navalmoral de la Mata,Cáceres,15233
531,La Solana,Ciudad Real,15220
532,Mos,Pontevedra,15142
533,Azpeitia,Gipuzkoa,15133
534,Cuevas del Almanzora,Almería,15116
535,Ogíjares,Granada,15047
536,Santa Marta de Tormes,Salamanca,15011
537,La Ràpita,Cataluña,15003
538,Piera,Cataluña,15000
539,Mollerussa,Cataluña,14963
540,Cehegín,Murcia,14935
541,Sopelana,Biscay,14857
542,La Carolina,Jaén,14709
543,Lliçà d'Amunt,Cataluña,14696
544,Fene,A Coruña,14638
545,Vallirana,Cataluña,14612
546,Andoain,Gipuzkoa,14526
547,Bergara,Gipuzkoa,14496
548,Cubelles,Cataluña,14481
549,Villaviciosa,Asturias,14470
550,Palau-solità i Plegamans,Cataluña,14454
551,Alginet,Valencia,14442
552,Bollullos Par del Condado,Huelva,14433
553,Verín ,Ourense,14391
554,Noia,A Coruña,14391
555,La Carlota,Córdoba,14377
556,Sanlúcar la Mayor,Seville,14366
557,Arnedo,La Rioja,14245
558,Alpedrete,Madrid,14240
559,Corbera de Llobregat,Cataluña,14237
560,Gondomar,Pontevedra,14236
561,O Barco de Valdeorras ,Ourense,14213
562,Pilas,Seville,14147
563,Ocaña,Toledo,14146
564,Canet de Mar,Cataluña,14123
565,O Carballiño ,Ourense,14114
566,Guillena,Seville,14110
567,Sa Pobla (La Puebla),"Mallorca, Balearic Islands",14064
568,Santa María de Guía de Gran Canaria,"Gran Canaria, Las Palmas",13971
569,Béjar,Salamanca,13951
570,Torelló,Cataluña,13949
571,Torrijos,Toledo,13945
572,Torredelcampo,Jaén,13937
573,Beasain,Gipuzkoa,13908
574,Nules,Castellón,13827
575,Cambados,Pontevedra,13814
576,Llanera,Asturias,13695
577,Sóller,"Mallorca, Balearic Islands",13621
578,Meco,Madrid,13570
579,Gines,Seville,13558
580,Badia del Vallès,Cataluña,13553
581,Álora,Málaga,13524
582,Antigua,"Fuerteventura, Las Palmas",13513
